release_id,artist,release_title,track_count,issue_count,issue_types,admin_url
legacy-release-1077,Cleaners From Venus,On Any Normal Monday,13,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-1077
legacy-release-10796,Various,Alle 55 Kort,57,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-10796
legacy-release-108,8 Hirsche,Ragout 18-62 (S/Sided),8,1,position_only_title,https://admin.vod-auctions.com/app/media/legacy-release-108
legacy-release-1080,Cleaners From Venus,Midnight Cleaners,11,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-1080
legacy-release-10806,Die Götter,Live im Atak Ulm 20.2.83,9,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-10806
legacy-release-1081,Cleaners From Venus,Blow Away Your Troubles,21,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-1081
legacy-release-10810,Milovan Srdenovic,5 Days in Hell,20,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-10810
legacy-release-1082,Clinique Lutetia,Aimless Music Vol. 2,20,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-1082
legacy-release-1086,F:A.R. & Ritmo Tribale,Allegato Sonoro - Amen This Is Religgion N° 5,15,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-1086
legacy-release-1095,Clock DVA,Live Leeds F-Club,8,1,position_only_title,https://admin.vod-auctions.com/app/media/legacy-release-1095
legacy-release-10969,Various,Notre Dame 5,19,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-10969
legacy-release-11004,Steven Jason Halpern,Prelude,8,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11004
legacy-release-11011,Anschluss,Five Parts of,10,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11011
legacy-release-11023,Amy Denio,No Bones,22,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11023
legacy-release-11081,Rentakil D.,Eurosoil 1,14,1,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-11081
legacy-release-11082,Klimperei,Sucres d'orge,31,1,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-11082
legacy-release-11098,Warworld,6 No' Marro,14,1,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-11098
legacy-release-111,A Certain Ratio,A Graveyard and the Ballroom  (Studio and Live),16,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-111
legacy-release-11118,Crawling Chaos,Cunt,21,1,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-11118
legacy-release-11122,Mick Hobbs,Music for Bandagen,18,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11122
legacy-release-11174,360 Sound,The State Of Affairs,20,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11174
legacy-release-11184,Mental Anguish,Hellhole,12,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11184
legacy-release-11202,Herd Of The Ether Space,Hardware Murals,11,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11202
legacy-release-11282,Henri Chopin,OH audiopoems,6,1,duration_in_title,https://admin.vod-auctions.com/app/media/legacy-release-11282
legacy-release-11293,Croiners,Learning To Live With Croiners,21,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11293
legacy-release-113,A Cloakroom Assembly & Shane Fahey,Trace And Rumble / When My Antenna Won't Start,21,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-113
legacy-release-1131,Coil and Zos Kia,Transparent,13,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-1131
legacy-release-1145,Colin Potter & Monoplane,Chainsaw,5,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-1145
legacy-release-11768,Peter R. Meyer,Nattövning 6,19,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11768
legacy-release-11779,Plastic Trash / Weimar Gesang,VM Due,11,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11779
legacy-release-11964,Stephen Willats,Documenta 6 / From A Coded World,19,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11964
legacy-release-11984,Yximalloo,Fish Walks To The Moon,36,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-11984
legacy-release-12000,Lieutenant Murnau (Vittore Baroni) & M.B. (Maurizio Bianchi),Tech-Nology,8,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-12000
legacy-release-12136,Vrije,Duin Tha White house,12,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-12136
legacy-release-12144,Vrije,Duin Tha White house,12,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-12144
legacy-release-12198,Attrition,Deux Demos,13,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-12198
legacy-release-12199,British Electric Foundation (B.E.F.),Music For Stowaways,10,1,mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-12199
